i,t,Capacity
131,11,1635071
131,12,1635071
132,1,592417
132,2,592417
132,3,592417
132,4,592417
132,5,592417
132,6,592417
132,7,592417
132,8,592417
132,9,592417
132,10,592417
132,11,592417
132,12,592417
133,1,1753555
133,2,1753555
133,3,1753555
133,4,1753555
133,5,1753555
133,6,1753555
133,7,1753555
133,8,1753555
133,9,1753555
133,10,1753555
133,11,1753555
133,12,1753555
134,1,213270
134,2,213270
134,3,213270
134,4,213270
134,5,213270
134,6,213270
134,7,213270
134,8,213270
134,9,213270
134,10,213270
134,11,213270
134,12,213270
135,1,592417
135,2,592417
135,3,592417
135,4,592417
135,5,592417
135,6,592417
135,7,592417
135,8,592417
135,9,592417
135,10,592417
135,11,592417
135,12,592417
136,1,2132701
136,2,2132701
136,3,2132701
136,4,2132701
136,5,2132701
136,6,2132701
136,7,2132701
136,8,2132701
136,9,2132701
136,10,2132701
136,11,2132701
136,12,2132701
137,1,213270
137,2,213270
137,3,213270
137,4,213270
137,5,213270
137,6,213270
137,7,213270
137,8,213270
137,9,213270
137,10,213270
137,11,213270
137,12,213270
138,1,592417
138,2,592417
138,3,592417
138,4,592417
138,5,592417
138,6,592417
138,7,592417
138,8,592417
138,9,592417
138,10,592417
138,11,592417
138,12,592417
139,1,213270
139,2,213270
139,3,213270
139,4,213270
139,5,213270
139,6,213270
139,7,213270
139,8,213270
139,9,213270
139,10,213270
139,11,213270
139,12,213270
140,1,1635071
140,2,1635071
140,3,1635071
140,4,1635071
140,5,1635071
140,6,1635071
140,7,1635071
140,8,1635071
140,9,1635071
140,10,1635071
140,11,1635071
140,12,1635071
141,1,1255924
141,2,1255924
141,3,1255924
141,4,1255924
141,5,1255924
141,6,1255924
141,7,1255924
141,8,1255924
141,9,1255924
141,10,1255924
141,11,1255924
141,12,1255924
142,1,592417
142,2,592417
142,3,592417
142,4,592417
142,5,592417
142,6,592417
142,7,592417
142,8,592417
142,9,592417
142,10,592417
142,11,592417
142,12,592417
143,1,1635071
143,2,1635071
143,3,1635071
143,4,1635071
143,5,1635071
143,6,1635071
143,7,1635071
143,8,1635071
143,9,1635071
143,10,1635071
143,11,1635071
143,12,1635071
144,1,1635071
144,2,1635071
144,3,1635071
144,4,1635071
144,5,1635071
144,6,1635071
144,7,1635071
144,8,1635071
144,9,1635071
144,10,1635071
144,11,1635071
144,12,1635071
145,1,213270
145,2,213270
145,3,213270
145,4,213270
145,5,213270
145,6,213270
145,7,213270
145,8,213270
145,9,213270
145,10,213270
145,11,213270
145,12,213270
146,1,213270
146,2,213270
146,3,213270
146,4,213270
146,5,213270
146,6,213270
146,7,213270
146,8,213270
