i,j,t,demand
41,1,12,7238
41,2,1,1126
41,2,2,1126
41,2,3,1126
41,2,4,1126
41,2,5,1126
41,2,6,1126
41,2,7,1126
41,2,8,1126
41,2,9,1126
41,2,10,1126
41,2,11,1126
41,2,12,1126
41,3,1,18
41,3,2,18
41,3,3,18
41,3,4,18
41,3,5,18
41,3,6,18
41,3,7,18
41,3,8,18
41,3,9,18
41,3,10,18
41,3,11,18
41,3,12,18
42,1,1,7238
42,1,2,7238
42,1,3,7238
42,1,4,7238
42,1,5,7238
42,1,6,7238
42,1,7,7238
42,1,8,7238
42,1,9,7238
42,1,10,7238
42,1,11,7238
42,1,12,7238
42,2,1,1126
42,2,2,1126
42,2,3,1126
42,2,4,1126
42,2,5,1126
42,2,6,1126
42,2,7,1126
42,2,8,1126
42,2,9,1126
42,2,10,1126
42,2,11,1126
42,2,12,1126
42,3,1,18
42,3,2,18
42,3,3,18
42,3,4,18
42,3,5,18
42,3,6,18
42,3,7,18
42,3,8,18
42,3,9,18
42,3,10,18
42,3,11,18
42,3,12,18
43,1,1,7238
43,1,2,7238
43,1,3,7238
43,1,4,7238
43,1,5,7238
43,1,6,7238
43,1,7,7238
43,1,8,7238
43,1,9,7238
43,1,10,7238
43,1,11,7238
43,1,12,7238
43,2,1,1126
43,2,2,1126
43,2,3,1126
43,2,4,1126
43,2,5,1126
43,2,6,1126
43,2,7,1126
43,2,8,1126
43,2,9,1126
43,2,10,1126
43,2,11,1126
43,2,12,1126
43,3,1,18
43,3,2,18
43,3,3,18
43,3,4,18
43,3,5,18
43,3,6,18
43,3,7,18
43,3,8,18
43,3,9,18
43,3,10,18
43,3,11,18
43,3,12,18
44,1,1,7238
44,1,2,7238
44,1,3,7238
44,1,4,7238
44,1,5,7238
44,1,6,7238
44,1,7,7238
44,1,8,7238
44,1,9,7238
44,1,10,7238
44,1,11,7238
44,1,12,7238
44,2,1,1126
44,2,2,1126
44,2,3,1126
44,2,4,1126
44,2,5,1126
44,2,6,1126
44,2,7,1126
44,2,8,1126
44,2,9,1126
44,2,10,1126
44,2,11,1126
44,2,12,1126
44,3,1,18
44,3,2,18
44,3,3,18
44,3,4,18
44,3,5,18
44,3,6,18
44,3,7,18
44,3,8,18
44,3,9,18
44,3,10,18
44,3,11,18
44,3,12,18
45,1,1,7238
45,1,2,7238
45,1,3,7238
45,1,4,7238
45,1,5,7238
45,1,6,7238
45,1,7,7238
45,1,8,7238
45,1,9,7238
