i,t,Capacity
106,2,345000
106,3,345000
106,4,345000
106,5,345000
106,6,345000
106,7,345000
106,8,345000
106,9,345000
106,10,345000
106,11,345000
106,12,345000
107,1,125000
107,2,125000
107,3,125000
107,4,125000
107,5,125000
107,6,125000
107,7,125000
107,8,125000
107,9,125000
107,10,125000
107,11,125000
107,12,125000
108,1,125000
108,2,125000
108,3,125000
108,4,125000
108,5,125000
108,6,125000
108,7,125000
108,8,125000
108,9,125000
108,10,125000
108,11,125000
108,12,125000
109,1,125000
109,2,125000
109,3,125000
109,4,125000
109,5,125000
109,6,125000
109,7,125000
109,8,125000
109,9,125000
109,10,125000
109,11,125000
109,12,125000
110,1,345000
110,2,345000
110,3,345000
110,4,345000
110,5,345000
110,6,345000
110,7,345000
110,8,345000
110,9,345000
110,10,345000
110,11,345000
110,12,345000
111,1,125000
111,2,125000
111,3,125000
111,4,125000
111,5,125000
111,6,125000
111,7,125000
111,8,125000
111,9,125000
111,10,125000
111,11,125000
111,12,125000
112,1,125000
112,2,125000
112,3,125000
112,4,125000
112,5,125000
112,6,125000
112,7,125000
112,8,125000
112,9,125000
112,10,125000
112,11,125000
112,12,125000
113,1,265000
113,2,265000
113,3,265000
113,4,265000
113,5,265000
113,6,265000
113,7,265000
113,8,265000
113,9,265000
113,10,265000
113,11,265000
113,12,265000
114,1,265000
114,2,265000
114,3,265000
114,4,265000
114,5,265000
114,6,265000
114,7,265000
114,8,265000
114,9,265000
114,10,265000
114,11,265000
114,12,265000
115,1,125000
115,2,125000
115,3,125000
115,4,125000
115,5,125000
115,6,125000
115,7,125000
115,8,125000
115,9,125000
115,10,125000
115,11,125000
115,12,125000
116,1,370000
116,2,370000
116,3,370000
116,4,370000
116,5,370000
116,6,370000
116,7,370000
116,8,370000
116,9,370000
116,10,370000
116,11,370000
116,12,370000
117,1,345000
117,2,345000
117,3,345000
117,4,345000
117,5,345000
117,6,345000
117,7,345000
117,8,345000
117,9,345000
117,10,345000
117,11,345000
117,12,345000
118,1,45000
118,2,45000
118,3,45000
118,4,45000
118,5,45000
118,6,45000
118,7,45000
118,8,45000
118,9,45000
118,10,45000
118,11,45000
118,12,45000
119,1,125000
119,2,125000
119,3,125000
119,4,125000
119,5,125000
119,6,125000
119,7,125000
119,8,125000
119,9,125000
119,10,125000
119,11,125000
119,12,125000
120,1,265000
120,2,265000
120,3,265000
120,4,265000
120,5,265000
120,6,265000
120,7,265000
120,8,265000
120,9,265000
120,10,265000
120,11,265000
120,12,265000
121,1,230000
121,2,230000
121,3,230000
121,4,230000
121,5,230000
121,6,230000
121,7,230000
121,8,230000
121,9,230000
121,10,230000
121,11,230000
121,12,230000
122,1,230000
122,2,230000
122,3,230000
