326,Madhepura ,Gamhariya PHC,"Gamhariya PHC, Madhepura "
327,Madhepura ,Ghailadh PHC,"Ghailadh PHC, Madhepura "
328,Madhepura ,Gwalpara PHC,"Gwalpara PHC, Madhepura "
329,Madhepura ,Kumarkhand PHC,"Kumarkhand PHC, Madhepura "
330,Madhepura ,Madhepura Sadar Hospital,"Madhepura Sadar Hospital, Madhepura "
331,Madhepura ,Majhora APHC,"Majhora APHC, Madhepura "
332,Madhepura ,Murho PHC,"Murho PHC, Madhepura "
333,Madhepura ,Murliganj PHC,"Murliganj PHC, Madhepura "
334,Madhepura ,Phulot APHC,"Phulot APHC, Madhepura "
335,Madhepura ,Puraini PHC,"Puraini PHC, Madhepura "
336,Madhepura ,Sankarpur PHC,"Sankarpur PHC, Madhepura "
337,Madhepura ,Singheshar PHC,"Singheshar PHC, Madhepura "
338,Madhepura ,Udakisananganj PHC,"Udakisananganj PHC, Madhepura "
339,Madhubani ,Andhrathari RH,"Andhrathari RH, Madhubani "
340,Madhubani ,Babubarhi PHC,"Babubarhi PHC, Madhubani "
341,Madhubani ,Basopatti PHC,"Basopatti PHC, Madhubani "
342,Madhubani ,Benipatti PHC,"Benipatti PHC, Madhubani "
343,Madhubani ,Bisf PHC,"Bisf PHC, Madhubani "
344,Madhubani ,Ghoghardiha PHC,"Ghoghardiha PHC, Madhubani "
345,Madhubani ,Harlakhi PHC,"Harlakhi PHC, Madhubani "
346,Madhubani ,Jainagar PHC,"Jainagar PHC, Madhubani "
347,Madhubani ,Jhanjharpur PHC,"Jhanjharpur PHC, Madhubani "
348,Madhubani ,Kaluahi PHC,"Kaluahi PHC, Madhubani "
349,Madhubani ,Khajauli PHC,"Khajauli PHC, Madhubani "
350,Madhubani ,Khutauna PHC,"Khutauna PHC, Madhubani "
351,Madhubani ,Ladania PHC,"Ladania PHC, Madhubani "
352,Madhubani ,Lakhnaur PHC,"Lakhnaur PHC, Madhubani "
353,Madhubani ,Laukahi PHC,"Laukahi PHC, Madhubani "
354,Madhubani ,Madhepur PHC,"Madhepur PHC, Madhubani "
355,Madhubani ,Madhubani Urban,"Madhubani Urban, Madhubani "
356,Madhubani ,Madhwapur PHC,"Madhwapur PHC, Madhubani "
357,Madhubani ,Pandaul RH,"Pandaul RH, Madhubani "
358,Madhubani ,Phulparas RH,"Phulparas RH, Madhubani "
359,Madhubani ,Rahika PHC,"Rahika PHC, Madhubani "
360,Madhubani ,Rajnagar PHC,"Rajnagar PHC, Madhubani "
361,Munger ,Asarganj PHC,"Asarganj PHC, Munger "
362,Munger ,Bariarpur PHC,"Bariarpur PHC, Munger "
363,Munger ,Dharhara PHC,"Dharhara PHC, Munger "
364,Munger ,Jamalpur Rural PHC,"Jamalpur Rural PHC, Munger "
365,Munger ,Kharagpur PHC,"Kharagpur PHC, Munger "
366,Munger ,Munger Urban,"Munger Urban, Munger "
367,Munger ,Munger Sadar PHC,"Munger Sadar PHC, Munger "
368,Munger ,Sangrampur PHC,"Sangrampur PHC, Munger "
369,Munger ,Tarapur PHC,"Tarapur PHC, Munger "
370,Munger ,Tetiya Bamber PHC,"Tetiya Bamber PHC, Munger "
371,Muzaffarpur ,Aurai PHC,"Aurai PHC, Muzaffarpur "
