i,j,t,demand
60,1,10,1287
60,1,11,1287
60,1,12,1287
60,2,1,21
60,2,2,21
60,2,3,21
60,2,4,21
60,2,5,21
60,2,6,21
60,2,7,21
60,2,8,21
60,2,9,21
60,2,10,21
60,2,11,21
60,2,12,21
61,1,1,1287
61,1,2,1287
61,1,3,1287
61,1,4,1287
61,1,5,1287
61,1,6,1287
61,1,7,1287
61,1,8,1287
61,1,9,1287
61,1,10,1287
61,1,11,1287
61,1,12,1287
61,2,1,21
61,2,2,21
61,2,3,21
61,2,4,21
61,2,5,21
61,2,6,21
61,2,7,21
61,2,8,21
61,2,9,21
61,2,10,21
61,2,11,21
61,2,12,21
62,1,1,1287
62,1,2,1287
62,1,3,1287
62,1,4,1287
62,1,5,1287
62,1,6,1287
62,1,7,1287
62,1,8,1287
62,1,9,1287
62,1,10,1287
62,1,11,1287
62,1,12,1287
62,2,1,21
62,2,2,21
62,2,3,21
62,2,4,21
62,2,5,21
62,2,6,21
62,2,7,21
62,2,8,21
62,2,9,21
62,2,10,21
62,2,11,21
62,2,12,21
63,1,1,1287
63,1,2,1287
63,1,3,1287
63,1,4,1287
63,1,5,1287
63,1,6,1287
63,1,7,1287
63,1,8,1287
63,1,9,1287
63,1,10,1287
63,1,11,1287
63,1,12,1287
63,2,1,21
63,2,2,21
63,2,3,21
63,2,4,21
63,2,5,21
63,2,6,21
63,2,7,21
63,2,8,21
63,2,9,21
63,2,10,21
63,2,11,21
63,2,12,21
64,1,1,1287
64,1,2,1287
64,1,3,1287
64,1,4,1287
64,1,5,1287
64,1,6,1287
64,1,7,1287
64,1,8,1287
64,1,9,1287
64,1,10,1287
64,1,11,1287
64,1,12,1287
64,2,1,21
64,2,2,21
64,2,3,21
64,2,4,21
64,2,5,21
64,2,6,21
64,2,7,21
64,2,8,21
64,2,9,21
64,2,10,21
64,2,11,21
64,2,12,21
65,1,1,1287
65,1,2,1287
65,1,3,1287
65,1,4,1287
65,1,5,1287
65,1,6,1287
65,1,7,1287
65,1,8,1287
65,1,9,1287
65,1,10,1287
65,1,11,1287
65,1,12,1287
65,2,1,21
65,2,2,21
65,2,3,21
65,2,4,21
65,2,5,21
65,2,6,21
65,2,7,21
65,2,8,21
65,2,9,21
65,2,10,21
65,2,11,21
65,2,12,21
66,1,1,1287
66,1,2,1287
66,1,3,1287
66,1,4,1287
66,1,5,1287
66,1,6,1287
66,1,7,1287
66,1,8,1287
66,1,9,1287
66,1,10,1287
66,1,11,1287
66,1,12,1287
66,2,1,21
66,2,2,21
66,2,3,21
66,2,4,21
66,2,5,21
66,2,6,21
66,2,7,21
66,2,8,21
66,2,9,21
66,2,10,21
66,2,11,21
66,2,12,21
67,1,1,1287
67,1,2,1287
67,1,3,1287
67,1,4,1287
67,1,5,1287
67,1,6,1287
67,1,7,1287
67,1,8,1287
67,1,9,1287
67,1,10,1287
67,1,11,1287
67,1,12,1287
67,2,1,21
67,2,2,21
67,2,3,21
67,2,4,21
67,2,5,21
67,2,6,21
67,2,7,21
67,2,8,21
67,2,9,21
67,2,10,21
67,2,11,21
67,2,12,21
68,1,1,1287
68,1,2,1287
68,1,3,1287
68,1,4,1287
68,1,5,1287
68,1,6,1287
68,1,7,1287
68,1,8,1287
68,1,9,1287
68,1,10,1287
68,1,11,1287
68,1,12,1287
68,2,1,21
68,2,2,21
68,2,3,21
68,2,4,21
68,2,5,21
68,2,6,21
68,2,7,21
68,2,8,21
68,2,9,21
68,2,10,21
68,2,11,21
68,2,12,21
69,1,1,1287
69,1,2,1287
69,1,3,1287
69,1,4,1287
69,1,5,1287
69,1,6,1287
69,1,7,1287
69,1,8,1287
69,1,9,1287
69,1,10,1287
69,1,11,1287
69,1,12,1287
69,2,1,21
69,2,2,21
69,2,3,21
69,2,4,21
69,2,5,21
